DATE,PRODUCT_ID,SELLING_PRICE,COST,COMPETITOR_PRICE,SALES,IS_PROMOTION,QUANTITY,CATEGORY,SUBCATEGORY,BRAND,PRODUCT_NAME,DAY_OF_WEEK,MONTH,SEASON,IS_HOLIDAY,IS_WEEKEND,Day_of_Week,Month,Price_Above_Competitor,Price_Below_Competitor,Days_Since_Last_Promotion,Profit_Margin
01-01-2020,1,361.0724746,205.1369066,364.6599239,770167.5884,0,147,Bakery,Bread,GoldenLoaf,GoldenLoaf Rich Pita,Wednesday,January,Winter,0,0,2,1,0,1,0,155.935568
01-01-2020,2,42.8962,36.29639359,43.85606741,170555.2912,0,204,Bakery,Cakes,BakeHouse,BakeHouse Fresh Pound,Wednesday,January,Winter,0,0,2,1,0,1,0,6.59980641
01-01-2020,3,49.30502061,25.47547469,52.90225683,113598.7675,0,520,Beverages,Soft Drinks,QuenchWell,QuenchWell Sparkling Soda,Wednesday,January,Winter,0,0,2,1,0,1,0,23.82954592
01-01-2020,4,192.3284903,146.0937377,203.1207872,244257.1826,0,994,Cleaning,Wipes,ShineGuard,ShineGuard Mega Pad,Wednesday,January,Winter,0,0,2,1,0,1,0,46.2347526
01-01-2020,5,463.5936185,258.9654273,424.8716694,543331.7209,0,699,Cleaning,Disinfectants,GermBuster,GermBuster Total Gel,Wednesday,January,Winter,0,0,2,1,1,0,0,204.6281912
01-01-2020,6,349.496018,238.6596931,357.7407269,862905.6685,0,446,Snacks,Chips,NibbleNest,NibbleNest Fiery Bites,Wednesday,January,Winter,0,0,2,1,0,1,0,110.8363249
01-01-2020,7,337.9794114,187.9529713,348.2514475,187240.5939,0,813,Personal Care,Shampoo,GlowMist,GlowMist Gentle Rinse,Wednesday,January,Winter,0,0,2,1,0,1,0,150.0264401
01-01-2020,8,179.3883138,70.65717729,179.0054167,304242.5801,0,358,Cereals,Granola,MorningCrunch,MorningCrunch Multi-Grain Bites,Wednesday,January,Winter,0,0,2,1,1,0,0,108.7311365
01-01-2020,9,293.4400563,173.04884,285.596902,636178.042,0,594,Frozen,Frozen Pizza,FrostyDelight,FrostyDelight Cold Slice,Wednesday,January,Winter,0,0,2,1,1,0,0,120.3912163
01-01-2020,10,15.39088376,9.256515997,14.1669599,17145.44451,0,330,Personal Care,Shampoo,EssencePure,EssencePure Revitalizing Cleanser,Wednesday,January,Winter,0,0,2,1,1,0,0,6.134367763
01-01-2020,11,322.1880344,179.5465971,315.3859941,253884.1711,0,49,Frozen,Ice Cream,ChillFactor,ChillFactor Velvety Sundae,Wednesday,January,Winter,0,0,2,1,1,0,0,142.6414373
01-01-2020,12,463.0645631,290.7116499,420.9679532,796471.0485,0,620,Snacks,Nuts,CrunchTime,CrunchTime Spicy Cluster,Wednesday,January,Winter,0,0,2,1,1,0,0,172.3529132
01-01-2020,13,300.6896378,144.8341358,277.0698824,403224.8043,0,628,Meat,Chicken,SavorSelect,SavorSelect Premium Breast,Wednesday,January,Winter,0,0,2,1,1,0,0,155.855502
01-01-2020,14,440.0940958,201.4948236,407.6619754,521071.4094,0,82,Cereals,Granola,DayStart,DayStart Crunchy Bites,Wednesday,January,Winter,0,0,2,1,1,0,0,238.5992722
